"","nwsID","wrccID","nessID","siteName","longitude","latitude","timezone","elevation","countryCode","stateCode","agency"
"159","021202",NA,NA,"SAGUARO",-110.8183333,32.31111111,"America/Phoenix",2750,"US","AZ",NA
"160","500927",NA,NA,"SOLDOTNA AKKKS",-151.0136111,60.49611111,"America/Anchorage",155,"US","AK",NA
"161","500412",NA,NA,"SALMON TROUT",-141.63,66.81,"America/Anchorage",2210,"US","AK",NA
"162","500754",NA,NA,"SMALL ARMS",-147.6166667,64.8,"America/Anchorage",490,"US","AK",NA
"163","021206",NA,NA,"SASABE",-111.2672222,31.40166667,"America/Phoenix",3300,"US","AZ",NA
"164","020608",NA,NA,"SAN CARLOS 1",-110.4566667,33.37138889,"America/Phoenix",2755,"US","AZ",NA
"165","012801",NA,NA,"SCHOOLHOUSE",-86.09083333,33.16388889,"America/Chicago",932,"US","AL",NA
"166","500734",NA,NA,"SELAWIK",-159.0913889,66.60666667,"America/Anchorage",105,"US","AK",NA
"167","021209",NA,NA,"SELLS",-111.8972222,31.91,"America/Phoenix",2262,"US","AZ",NA
"168","500405",NA,NA,"SEVEN MILE",-149.93,65.97,"America/Anchorage",823,"US","AK",NA
"169","020611",NA,NA,"SHADOW RIM",-111.2827778,34.40555556,"America/Phoenix",5620,"US","AZ",NA
"170","035102",NA,NA,"SHERIDAN",-92.35,34.31666667,"America/Chicago",270,"US","AR",NA
"171","012902",NA,NA,"SHOAL CREEK",-85.63444444,33.64722222,"America/Chicago",908,"US","AL",NA
"172","031201",NA,NA,"SILVER HILL",-92.74583333,35.97,"America/Chicago",930,"US","AR",NA
"173","500967",NA,NA,"SKILAK GUARD STATION",-150.4605556,60.48388889,"America/Anchorage",315,"US","AK",NA
"174","500220",NA,NA,"SHAKTOOLIK RIVER",-159.9147222,64.62666667,"America/Anchorage",1850,"US","AK",NA
"175","500744",NA,NA,"SALCHA(NEW)",-146.14,64.59,"America/Anchorage",1000,"US","AK",NA
"176","021501",NA,NA,"SMITH_PEAK",-113.3472222,34.11583333,"America/Phoenix",2500,"US","AZ",NA
"177","021208",NA,NA,"SCOUT CAMP",-110.725,32.39805556,"America/Phoenix",7840,"US","AZ",NA
"178","020509",NA,NA,"STANTON",-112.7333333,34.16666667,"America/Phoenix",3600,"US","AZ",NA
"179","034502",NA,NA,"ST. FRANCIS",-90.72194444,34.75555556,"America/Chicago",300,"US","AR",NA
"180","021106",NA,NA,"STRAYHORSE",-109.3163889,33.55222222,"America/Phoenix",7935,"US","AZ",NA
"181","030901",NA,NA,"STRICKLER",-94.29694444,35.86833333,"America/Chicago",1633,"US","AR",NA
"182","500956",NA,NA,"STONEY",-153.8963889,61.06361111,"America/Anchorage",1226,"US","AK",NA
"183","500621",NA,NA,"STONEY_RIVER",-156.44,61.64,"America/Anchorage",265,"US","AK",NA
"184","500756",NA,NA,"STUART CREEK",-146.8455556,64.12166667,"America/Anchorage",1543,"US","AK",NA
"185","020510",NA,NA,"SUNSET POINT",-112.1416667,34.19527778,"America/Phoenix",2600,"US","AZ",NA
"186","500216",NA,NA,"TAG MTN",-158.66,66.16916667,"America/Anchorage",2017,"US","AK",NA
"187","500750",NA,NA,"TOK AKTAS",-143.0008333,63.32527778,"America/Anchorage",1639,"US","AK",NA
"188","012701",NA,NA,"TALLGA",-86.08111111,33.44111111,"America/Chicago",600,"US","AL",NA
"189","500620",NA,NA,"TELIDA",-153.36,63.44,"America/Anchorage",640,"US","AK",NA
"190","501040",NA,NA,"THORNE RIVER",-132.7013889,55.74166667,"America/Sitka",400,"US","AK",NA
"191","500723",NA,NA,"TEE_LAKE",-143.83,63.76277778,"America/Anchorage",2073,"US","AK",NA
"192","500749",NA,NA,"TOK RIVER VALLEY",-143.34,62.97,"America/Anchorage",2300,"US","AK",NA
"193","020606",NA,NA,"TONTO BASIN",-111.3133333,33.86833333,"America/Phoenix",2414,"US","AZ",NA
"194","021105",NA,NA,"TRAIL CABIN",-109.3683333,33.26666667,"America/Phoenix",6279,"US","AZ",NA
